Time,Channel,nodeId,ADCChannel,ADCData,ADCDataConverted
0.1,0,0,3,35,0.008544921875
0.1,0,0,4,35,0.008544921875
0.1,0,0,5,28,0.0068359375
0.1,0,0,6,33,0.008056640625
0.1,0,0,7,70,0.01708984375
0.1,0,0,8,64,0.015625
0.1,0,0,9,25,0.006103515625
0.1,0,0,10,33,0.008056640625
0.2,0,0,11,11,0.002685546875
0.2,0,0,12,13,0.003173828125
0.2,0,0,13,12,0.0029296875
0.2,0,0,14,14,0.00341796875
0.2,0,0,15,12,0.0029296875
0.2,0,0,16,11,0.002685546875
0.2,0,0,17,32,0.0078125
0.2,0,0,18,12,0.0029296875
0.2,0,0,19,64,0.015625
0.2,0,0,20,65,0.015869140625
0.2,0,0,21,24,0.005859375
0.2,0,0,22,38,0.00927734375
0.2,0,0,23,16,0.00390625
0.2,0,0,24,35,0.008544921875
0.2,0,0,25,18,0.00439453125
0.3,0,0,26,12,0.0029296875
0.3,0,0,27,16,0.00390625
0.3,0,0,28,12,0.0029296875
0.3,0,0,29,16,0.00390625
0.3,0,0,30,6,0.00146484375
0.3,0,0,31,17,0.004150390625
0.3,0,0,32,16,0.00390625
0.3,0,0,33,16,0.00390625
0.3,0,0,34,14,0.00341796875
0.4,0,0,3,49,0.011962890625
0.4,0,0,4,32,0.0078125
0.4,0,0,5,9,0.002197265625
0.4,0,0,6,35,0.008544921875
0.4,0,0,7,46,0.01123046875
0.4,0,0,8,16,0.00390625
0.4,0,0,9,28,0.0068359375
0.4,0,0,10,18,0.00439453125
0.4,0,0,11,10,0.00244140625
0.4,0,0,12,14,0.00341796875
0.4,0,0,13,12,0.0029296875
0.4,0,0,14,13,0.003173828125
0.4,0,0,15,11,0.002685546875
0.4,0,0,16,13,0.003173828125
0.5,0,0,17,17,0.004150390625
0.5,0,0,18,7,0.001708984375
0.5,0,0,19,28,0.0068359375
0.5,0,0,20,34,0.00830078125
0.5,0,0,21,34,0.00830078125
0.5,0,0,22,28,0.0068359375
0.5,0,0,23,14,0.00341796875
0.5,0,0,24,16,0.00390625
0.5,0,0,25,24,0.005859375
0.5,0,0,26,17,0.004150390625
0.5,0,0,27,32,0.0078125
0.5,0,0,28,32,0.0078125
0.5,0,0,29,19,0.004638671875
0.5,0,0,30,7,0.001708984375
0.5,0,0,31,7,0.001708984375
0.6,0,0,32,8,0.001953125
0.6,0,0,33,32,0.0078125
0.6,0,0,34,12,0.0029296875
0.6,0,0,3,39,0.009521484375
0.6,0,0,4,64,0.015625
0.6,0,0,5,12,0.0029296875
0.6,0,0,6,38,0.00927734375
0.7,0,0,7,74,0.01806640625
0.7,0,0,8,12,0.0029296875
0.7,0,0,9,72,0.017578125
0.7,0,0,10,19,0.004638671875
0.7,0,0,11,10,0.00244140625
0.7,0,0,12,15,0.003662109375
0.7,0,0,13,12,0.0029296875
0.7,0,0,14,12,0.0029296875
0.7,0,0,15,12,0.0029296875
0.7,0,0,16,11,0.002685546875
0.7,0,0,17,22,0.00537109375
0.7,0,0,18,64,0.015625
0.7,0,0,19,16,0.00390625
0.7,0,0,20,24,0.005859375
0.7,0,0,21,8,0.001953125
0.7,0,0,22,35,0.008544921875
0.8,0,0,23,8,0.001953125
0.8,0,0,24,18,0.00439453125
0.8,0,0,25,64,0.015625
0.8,0,0,26,64,0.015625
0.8,0,0,27,18,0.00439453125
0.8,0,0,28,32,0.0078125
0.8,0,0,29,9,0.002197265625
0.8,0,0,30,8,0.001953125
0.8,0,0,31,12,0.0029296875
0.8,0,0,32,24,0.005859375
0.8,0,0,33,34,0.00830078125
0.8,0,0,34,16,0.00390625
0.9,0,0,3,15,0.003662109375
0.9,0,0,4,28,0.0068359375
0.9,0,0,5,24,0.005859375
0.9,0,0,6,24,0.005859375
0.9,0,0,7,66,0.01611328125
0.9,0,0,8,7,0.001708984375
0.9,0,0,9,36,0.0087890625
0.9,0,0,10,28,0.0068359375
0.9,0,0,11,11,0.002685546875
1.0,0,0,12,14,0.00341796875
1.0,0,0,13,12,0.0029296875
1.0,0,0,14,12,0.0029296875
1.0,0,0,15,12,0.0029296875
1.0,0,0,16,11,0.002685546875
1.0,0,0,17,17,0.004150390625
1.0,0,0,18,49,0.011962890625
1.0,0,0,19,11,0.002685546875
1.0,0,0,20,36,0.0087890625
1.0,0,0,21,32,0.0078125
1.0,0,0,22,16,0.00390625
1.0,0,0,23,24,0.005859375
1.0,0,0,24,38,0.00927734375
1.0,0,0,25,16,0.00390625
1.0,0,0,26,32,0.0078125
1.0,0,0,27,19,0.004638671875
1.1,0,0,28,19,0.004638671875
1.1,0,0,29,19,0.004638671875
1.1,0,0,30,32,0.0078125
1.1,0,0,31,17,0.004150390625
1.1,0,0,32,32,0.0078125
1.1,0,0,33,12,0.0029296875
1.1,0,0,34,7,0.001708984375
1.2,0,0,3,14,0.00341796875
1.2,0,0,4,32,0.0078125
1.2,0,0,5,16,0.00390625
1.2,0,0,6,15,0.003662109375
1.2,0,0,7,15,0.003662109375
1.2,0,0,8,69,0.016845703125
1.2,0,0,9,23,0.005615234375
1.2,0,0,10,0,0.0
1.2,0,0,11,10,0.00244140625
1.2,0,0,12,14,0.00341796875
1.2,0,0,13,12,0.0029296875
1.2,0,0,14,13,0.003173828125
1.2,0,0,15,10,0.00244140625
1.2,0,0,16,11,0.002685546875
1.2,0,0,17,12,0.0029296875
1.2,0,0,18,34,0.00830078125
1.3,0,0,19,36,0.0087890625
1.3,0,0,20,37,0.009033203125
1.3,0,0,21,24,0.005859375
1.3,0,0,22,14,0.00341796875
1.3,0,0,23,16,0.00390625
1.3,0,0,24,5,0.001220703125
1.3,0,0,25,33,0.008056640625
1.3,0,0,26,1,0.000244140625
1.3,0,0,27,8,0.001953125
1.3,0,0,28,14,0.00341796875
1.3,0,0,29,32,0.0078125
1.3,0,0,30,7,0.001708984375
1.3,0,0,31,24,0.005859375
1.3,0,0,32,19,0.004638671875
1.3,0,0,33,16,0.00390625
1.4,0,0,34,7,0.001708984375
1.4,0,0,3,30,0.00732421875
1.4,0,0,4,14,0.00341796875
1.4,0,0,5,40,0.009765625
1.4,0,0,6,18,0.00439453125
1.4,0,0,7,25,0.006103515625
1.4,0,0,8,28,0.0068359375
1.5,0,0,9,66,0.01611328125
1.5,0,0,10,12,0.0029296875
1.5,0,0,11,10,0.00244140625
1.5,0,0,12,15,0.003662109375
1.5,0,0,13,13,0.003173828125
1.5,0,0,14,13,0.003173828125
1.5,0,0,15,13,0.003173828125
1.5,0,0,16,11,0.002685546875
1.5,0,0,17,3,0.000732421875
1.5,0,0,18,1,0.000244140625
1.5,0,0,19,49,0.011962890625
1.5,0,0,20,19,0.004638671875
1.5,0,0,21,12,0.0029296875
1.5,0,0,22,64,0.015625
1.5,0,0,23,7,0.001708984375
1.5,0,0,24,37,0.009033203125
1.6,0,0,25,8,0.001953125
1.6,0,0,26,32,0.0078125
1.6,0,0,27,12,0.0029296875
