time,test_tx,bus_id,nodeId,adc_ch,index,sub_index,adc_data,adc_data_converted,reqmsg,requestreg,respmsg,responsereg,status
1.236177682876587,1,1,1,24,0x2400,22,81,0.024,1,0x6014000241600000001,1,0x5814300241651000001,1
1.2432713508605957,1,1,1,25,0x2400,23,73,0.022,1,0x6014000241700000001,1,0x5814300241749000001,1
1.2494115829467773,1,1,1,26,0x2400,24,4,0.001,1,0x6014000241800000001,1,0x5814300241804000001,1
1.2554759979248047,1,1,1,27,0x2400,25,36,0.011,1,0x6014000241900000001,1,0x5814300241924000001,1
1.262305498123169,1,1,1,28,0x2400,26,27,0.008,1,0x6014000241a00000001,1,0x5814300241a1b000001,1
1.2692008018493652,1,1,1,29,0x2400,27,21,0.006,1,0x6014000241b00000001,1,0x5814300241b15000001,1
1.2754127979278564,1,1,1,30,0x2400,28,36,0.011,1,0x6014000241c00000001,1,0x5814300241c24000001,1
1.2821612358093262,1,1,1,31,0x2400,29,17,0.005,1,0x6014000241d00000001,1,0x5814300241d11000001,1
1.288264274597168,1,1,1,32,0x2400,30,36,0.011,1,0x6014000241e00000001,1,0x5814300241e24000001,1
1.2941226959228516,1,1,1,33,0x2400,31,25,0.007,1,0x6014000241f00000001,1,0x5814300241f19000001,1
1.3008198738098145,1,1,1,34,0x2400,32,10,0.003,1,0x6014000242000000001,1,0x581430024200a000001,1
1.3181467056274414,1,1,1,3,0x2400,1,74,0.022,1,0x6014000240100000001,1,0x581430024014a000001,1
1.3249011039733887,1,1,1,4,0x2400,2,75,0.022,1,0x6014000240200000001,1,0x581430024024b000001,1
1.3318421840667725,1,1,1,5,0x2400,3,81,0.024,1,0x6014000240300000001,1,0x5814300240351000001,1
1.338735818862915,1,1,1,6,0x2400,4,10,0.003,1,0x6014000240400000001,1,0x581430024040a000001,1
1.3458335399627686,1,1,1,7,0x2400,5,89,0.027,1,0x6014000240500000001,1,0x5814300240559000001,1
1.3521502017974854,1,1,1,8,0x2400,6,36,0.011,1,0x6014000240600000001,1,0x5814300240624000001,1
1.3580255508422852,1,1,1,9,0x2400,7,36,0.011,1,0x6014000240700000001,1,0x5814300240724000001,1
1.3649084568023682,1,1,1,10,0x2400,8,10,0.003,1,0x6014000240800000001,1,0x581430024080a000001,1
1.3719065189361572,1,1,1,11,0x2400,9,13,0.004,1,0x6014000240900000001,1,0x581430024090d000001,1
1.3788108825683594,1,1,1,12,0x2400,10,14,0.004,1,0x6014000240a00000001,1,0x5814300240a0e000001,1
1.3968243598937988,1,1,1,13,0x2400,11,14,0.004,1,0x6014000240b00000001,1,0x5814300240b0e000001,1
1.4031424522399902,1,1,1,14,0x2400,12,12,0.004,1,0x6014000240c00000001,1,0x5814300240c0c000001,1
1.4100654125213623,1,1,1,15,0x2400,13,14,0.004,1,0x6014000240d00000001,1,0x5814300240d0e000001,1
1.4160082340240479,1,1,1,16,0x2400,14,11,0.003,1,0x6014000240e00000001,1,0x5814300240e0b000001,1
1.4230566024780273,1,1,1,17,0x2400,15,8,0.002,1,0x6014000240f00000001,1,0x5814300240f08000001,1
1.4298031330108643,1,1,1,18,0x2400,16,48,0.014,1,0x6014000241000000001,1,0x5814300241030000001,1
1.4366402626037598,1,1,1,19,0x2400,17,81,0.024,1,0x6014000241100000001,1,0x5814300241151000001,1
1.4429371356964111,1,1,1,20,0x2400,18,67,0.02,1,0x6014000241200000001,1,0x5814300241243000001,1
1.4498076438903809,1,1,1,21,0x2400,19,42,0.013,1,0x6014000241300000001,1,0x581430024132a000001,1
1.4560351371765137,1,1,1,22,0x2400,20,38,0.011,1,0x6014000241400000001,1,0x5814300241426000001,1
1.462303876876831,1,1,1,23,0x2400,21,36,0.011,1,0x6014000241500000001,1,0x5814300241524000001,1
1.468214750289917,1,1,1,24,0x2400,22,11,0.003,1,0x6014000241600000001,1,0x581430024160b000001,1
1.4745230674743652,1,1,1,25,0x2400,23,17,0.005,1,0x6014000241700000001,1,0x5814300241711000001,1
1.4802610874176025,1,1,1,26,0x2400,24,36,0.011,1,0x6014000241800000001,1,0x5814300241824000001,1
1.4871795177459717,1,1,1,27,0x2400,25,20,0.006,1,0x6014000241900000001,1,0x5814300241914000001,1
1.4938905239105225,1,1,1,28,0x2400,26,36,0.011,1,0x6014000241a00000001,1,0x5814300241a24000001,1
1.500786304473877,1,1,1,29,0x2400,27,36,0.011,1,0x6014000241b00000001,1,0x5814300241b24000001,1
1.5067617893218994,1,1,1,30,0x2400,28,33,0.01,1,0x6014000241c00000001,1,0x5814300241c21000001,1
1.5136473178863525,1,1,1,31,0x2400,29,24,0.007,1,0x6014000241d00000001,1,0x5814300241d18000001,1
1.5205261707305908,1,1,1,32,0x2400,30,16,0.005,1,0x6014000241e00000001,1,0x5814300241e10000001,1
1.5267548561096191,1,1,1,33,0x2400,31,36,0.011,1,0x6014000241f00000001,1,0x5814300241f24000001,1
1.5335798263549805,1,1,1,34,0x2400,32,11,0.003,1,0x6014000242000000001,1,0x581430024200b000001,1
1.5510694980621338,1,1,1,3,0x2400,1,75,0.022,1,0x6014000240100000001,1,0x581430024014b000001,1
1.557260513305664,1,1,1,4,0x2400,2,36,0.011,1,0x6014000240200000001,1,0x5814300240224000001,1
1.5634031295776367,1,1,1,5,0x2400,3,52,0.016,1,0x6014000240300000001,1,0x5814300240334000001,1
1.5694408416748047,1,1,1,6,0x2400,4,128,0.038,1,0x6014000240400000001,1,0x5814300240480000001,1
1.5763957500457764,1,1,1,7,0x2400,5,36,0.011,1,0x6014000240500000001,1,0x5814300240524000001,1
1.582531213760376,1,1,1,8,0x2400,6,48,0.014,1,0x6014000240600000001,1,0x5814300240630000001,1
1.588280439376831,1,1,1,9,0x2400,7,96,0.029,1,0x6014000240700000001,1,0x5814300240760000001,1
1.5942316055297852,1,1,1,10,0x2400,8,36,0.011,1,0x6014000240800000001,1,0x5814300240824000001,1
1.6012108325958252,1,1,1,11,0x2400,9,13,0.004,1,0x6014000240900000001,1,0x581430024090d000001,1
1.6081469058990479,1,1,1,12,0x2400,10,11,0.003,1,0x6014000240a00000001,1,0x5814300240a0b000001,1
1.615030288696289,1,1,1,13,0x2400,11,15,0.004,1,0x6014000240b00000001,1,0x5814300240b0f000001,1
1.6220269203186035,1,1,1,14,0x2400,12,12,0.004,1,0x6014000240c00000001,1,0x5814300240c0c000001,1
